GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spoteezer,musichub.util,PathValidation,0,39,0,4,0,10,0,4,0,2
spoteezer,musichub.util,LogHandler,0,46,0,0,0,11,0,3,0,3
spoteezer,musichub.util,XMLHandler,6,66,0,0,4,21,0,4,0,4
spoteezer,musichub.business,Album,330,0,14,0,84,0,16,0,9,0
spoteezer,musichub.business,SortByAuthor,9,0,0,0,2,0,2,0,2,0
spoteezer,musichub.business,NoAlbumFoundException,4,0,0,0,2,0,1,0,1,0
spoteezer,musichub.business,Language,3,46,0,0,1,5,1,2,1,2
spoteezer,musichub.business,SortByDate,9,0,0,0,2,0,2,0,2,0
spoteezer,musichub.business,MusicHub,803,0,114,0,195,0,79,0,22,0
spoteezer,musichub.business,Category,3,46,0,0,1,5,1,2,1,2
spoteezer,musichub.business,Song,0,105,0,6,0,26,0,12,0,7
spoteezer,musichub.business,NoPlayListFoundException,4,0,0,0,2,0,1,0,1,0
spoteezer,musichub.business,PlayList,32,170,5,9,9,44,5,9,0,7
spoteezer,musichub.business,AudioBook,117,47,8,2,27,12,12,5,4,5
spoteezer,musichub.business,SortByGenre,9,0,0,0,2,0,2,0,2,0
spoteezer,musichub.business,NoElementFoundException,4,0,0,0,2,0,1,0,1,0
spoteezer,musichub.business,Genre,0,56,0,0,0,6,0,3,0,3
spoteezer,musichub.business,AudioElement,85,181,9,2,30,42,11,5,4,5
spoteezer,musichub.main,Main,605,0,41,0,206,0,30,0,3,0
